Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=1, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:35.863 +0800 CST true}
  -> Host: ID=9, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:30.613 +0800 CST true}
  -> Host: ID=17, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:30.553 +0800 CST true}
  -> Host: ID=25, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:30.461 +0800 CST true}
  -> Host: ID=33, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:30.345 +0800 CST true}
  -> Host: ID=41, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:30.277 +0800 CST true}
  -> Host: ID=49, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.981 +0800 CST true}
  -> Host: ID=57, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.879 +0800 CST true}
  -> Host: ID=65, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.783 +0800 CST true}
  -> Host: ID=73, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.663 +0800 CST true}
  -> Host: ID=81, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.584 +0800 CST true}
  -> Host: ID=89, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.516 +0800 CST true}
  -> Host: ID=97, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:55:29.386 +0800 CST true}
  -> Host: ID=105, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:56:11.146 +0800 CST true}
  -> Host: ID=113, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 13:56:11.076 +0800 CST true}
  -> Host: ID=121, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.817 +0800 CST true}
  -> Host: ID=129, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.75 +0800 CST true}
  -> Host: ID=137, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.546 +0800 CST true}
  -> Host: ID=145, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.434 +0800 CST true}
  -> Host: ID=153, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.345 +0800 CST true}
  -> Host: ID=161, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:37.186 +0800 CST true}
  -> Host: ID=169, Name=Zabbix server, MID=2, HostID=10084, DeletedAt={2026-02-28 14:19:36.945 +0800 CST true}
